model,f1_micro,f1_macro,f1_weighted,precision_micro,recall_micro,hamming_loss,subset_accuracy
Random Forest,0.6916677014777102,0.4177154482922195,0.7917282256840414,0.5857916600936005,0.8442591890867753,0.08116567375191024,0.4891024540930153
XGBoost,0.8464509152699468,0.451328251378466,0.8247892423168653,0.8629813371131585,0.8305418719211822,0.032492420342085694,0.6953835592929466
CatBoost,0.71362018764154,0.4155187835293844,0.7910226433685096,0.6225797346881174,0.8358469117089806,0.07233976480587086,0.4736571134374464
Deep Learning (TensorFlow),0.8446097806711618,0.3815791950906483,0.8160857438996592,0.8641662041075252,0.8259189086775294,0.03277027303112767,0.6893770379268921
